time_step [s] = stop-time [s] = time [s]	separation [m]	mean speed [m/s]
2.270000e-12	4.187685e-10	2.531838e+02
2.280000e-12	4.188115e-10	2.524825e+02
2.290000e-12	4.187879e-10	2.517540e+02
2.300000e-12	4.189347e-10	2.511389e+02
2.310000e-12	4.189142e-10	2.504926e+02
2.320000e-12	4.188779e-10	2.499966e+02
2.330000e-12	4.187811e-10	2.497077e+02
2.340000e-12	4.187989e-10	2.495066e+02
2.350000e-12	4.188245e-10	2.493536e+02
2.360000e-12	4.188092e-10	2.492948e+02
2.370000e-12	4.188520e-10	2.491892e+02
2.380000e-12	4.189499e-10	2.490024e+02
2.390000e-12	4.189007e-10	2.488605e+02
2.400000e-12	4.190325e-10	2.487067e+02
2.410000e-12	4.191007e-10	2.485780e+02
2.420000e-12	4.192947e-10	2.484657e+02
2.430000e-12	4.193872e-10	2.483075e+02
2.440000e-12	4.193613e-10	2.480710e+02
2.450000e-12	4.195502e-10	2.477553e+02
2.460000e-12	4.196969e-10	2.473792e+02
2.470000e-12	4.197482e-10	2.469938e+02
2.480000e-12	4.197413e-10	2.466636e+02
2.490000e-12	4.197353e-10	2.464176e+02
2.500000e-12	4.197751e-10	2.462510e+02
2.510000e-12	4.198872e-10	2.461615e+02
2.520000e-12	4.199820e-10	2.461071e+02
2.530000e-12	4.202282e-10	2.460992e+02
2.540000e-12	4.202022e-10	2.460934e+02
2.550000e-12	4.200879e-10	2.463938e+02
2.560000e-12	4.198836e-10	2.462432e+02
2.570000e-12	4.198279e-10	2.462872e+02
2.580000e-12	4.196745e-10	2.460434e+02
2.590000e-12	4.196550e-10	2.456763e+02
2.600000e-12	4.196214e-10	2.453443e+02
2.610000e-12	4.197194e-10	2.450743e+02
2.620000e-12	4.197308e-10	2.448987e+02
2.630000e-12	4.198094e-10	2.448065e+02
2.640000e-12	4.199052e-10	2.447653e+02
2.650000e-12	4.200212e-10	2.447389e+02
2.660000e-12	4.200486e-10	2.446828e+02
2.670000e-12	4.200794e-10	2.445696e+02
2.680000e-12	4.201089e-10	2.444175e+02
2.690000e-12	4.201357e-10	2.442363e+02
2.700000e-12	4.202138e-10	2.440500e+02
2.710000e-12	4.202014e-10	2.438954e+02
2.720000e-12	4.202861e-10	2.437523e+02
2.730000e-12	4.203088e-10	2.436684e+02
2.740000e-12	4.202982e-10	2.441617e+02
2.750000e-12	4.202307e-10	2.441049e+02
2.760000e-12	4.201518e-10	2.443925e+02
2.770000e-12	4.200693e-10	2.446173e+02
2.780000e-12	4.199338e-10	2.448775e+02
2.790000e-12	4.199839e-10	2.447959e+02
2.800000e-12	4.199167e-10	2.449002e+02
2.810000e-12	4.198152e-10	2.447382e+02
2.820000e-12	4.197878e-10	2.445689e+02
2.830000e-12	4.198364e-10	2.444584e+02
2.840000e-12	4.198497e-10	2.443069e+02
2.850000e-12	4.197343e-10	2.441953e+02
2.860000e-12	4.196516e-10	2.440927e+02
2.870000e-12	4.196632e-10	2.439221e+02
2.880000e-12	4.195805e-10	2.436415e+02
2.890000e-12	4.195784e-10	2.434241e+02
2.900000e-12	4.194322e-10	2.432110e+02
2.910000e-12	4.195287e-10	2.429897e+02
2.920000e-12	4.196656e-10	2.428574e+02
2.930000e-12	4.196695e-10	2.427602e+02
2.940000e-12	4.198506e-10	2.427197e+02
2.950000e-12	4.199878e-10	2.426251e+02
2.960000e-12	4.200272e-10	2.425558e+02
2.970000e-12	4.200769e-10	2.424937e+02
2.980000e-12	4.200064e-10	2.423964e+02
2.990000e-12	4.200751e-10	2.422685e+02
3.000000e-12	4.202807e-10	2.421242e+02
3.010000e-12	4.203642e-10	2.420003e+02
3.020000e-12	4.203944e-10	2.419011e+02
3.030000e-12	4.204254e-10	2.417104e+02
